Timestamp,device_id,raw_value,voltage
2024-11-14T09:30:36.061006,ESP_001,182,0.147
2024-11-14T09:30:46.087621,ESP_001,256,0.206
2024-11-14T09:30:56.121661,ESP_001,159,0.128
2024-11-14T09:31:06.159605,ESP_001,570,0.459
2024-11-14T09:31:16.558521,ESP_001,296,0.239
2024-11-14T09:31:26.592689,ESP_001,301,0.243
2024-11-14T09:31:46.915670,ESP_001,275,0.222
2024-11-14T09:31:56.949252,ESP_001,169,0.136
2024-11-14T09:32:06.975638,ESP_001,335,0.27
2024-11-14T09:32:17.007679,ESP_001,87,0.07
2024-11-14T09:32:27.030112,ESP_001,279,0.225
2024-11-14T09:32:37.064501,ESP_001,43,0.035
2024-11-14T09:32:47.090930,ESP_001,220,0.177
2024-11-14T09:33:17.182439,ESP_001,157,0.127
2024-11-14T09:33:27.206007,ESP_001,124,0.1
2024-11-14T09:33:37.275631,ESP_001,88,0.071
2024-11-14T09:33:47.305531,ESP_001,356,0.287
2024-11-14T09:33:57.339767,ESP_001,75,0.06
2024-11-14T09:34:17.412861,ESP_001,143,0.115
2024-11-14T09:34:27.838741,ESP_001,139,0.112
2024-11-14T09:34:38.049390,ESP_001,210,0.169
2024-11-14T09:34:48.142599,ESP_001,285,0.23
2024-11-14T09:34:59.299050,ESP_001,237,0.191
2024-11-14T09:35:09.332874,ESP_001,75,0.06
2024-11-14T09:35:19.360449,ESP_001,248,0.2
2024-11-14T09:35:30.429314,ESP_001,147,0.118
2024-11-14T09:35:40.464638,ESP_001,139,0.112
2024-11-14T09:35:50.507007,ESP_001,39,0.031
2024-11-14T09:36:00.543291,ESP_001,132,0.106
2024-11-14T09:36:10.667550,ESP_001,19,0.015
2024-11-14T09:36:20.699954,ESP_001,268,0.216
2024-11-14T09:36:30.728335,ESP_001,41,0.033
2024-11-14T09:36:40.756010,ESP_001,68,0.055
2024-11-14T09:36:50.789724,ESP_001,47,0.038
2024-11-14T09:37:00.851640,ESP_001,444,0.358
2024-11-14T09:37:10.894677,ESP_001,68,0.055
2024-11-14T09:37:20.924511,ESP_001,375,0.302
2024-11-14T09:37:31.770434,ESP_001,228,0.184
2024-11-14T09:37:42.932258,ESP_001,149,0.12
2024-11-14T09:37:52.963563,ESP_001,108,0.087
2024-11-14T09:38:03.046990,ESP_001,167,0.135
2024-11-14T09:38:16.094516,ESP_001,99,0.08
2024-11-14T09:38:26.140512,ESP_001,91,0.073
2024-11-14T09:38:36.178186,ESP_001,181,0.146
2024-11-14T09:38:46.211580,ESP_001,320,0.258
2024-11-14T09:38:59.235753,ESP_001,653,0.526
2024-11-14T09:39:01.586493,ESP_001,11,0.009
2024-11-14T09:39:11.616752,ESP_001,5,0.004
2024-11-14T09:39:21.657386,ESP_001,1214,0.978
2024-11-14T09:39:31.690265,ESP_001,781,0.629
2024-11-14T09:39:41.717607,ESP_001,41,0.033
2024-11-14T09:39:51.759214,ESP_001,85,0.068
2024-11-14T09:40:01.787711,ESP_001,25,0.02
2024-11-14T09:40:11.818193,ESP_001,298,0.24
2024-11-14T09:40:21.846884,ESP_001,9,0.007
2024-11-14T09:40:31.872991,ESP_001,187,0.151
2024-11-14T09:40:41.897658,ESP_001,310,0.25
2024-11-14T09:40:51.922123,ESP_001,151,0.122
2024-11-14T09:41:01.968257,ESP_001,92,0.074
2024-11-14T09:41:12.327584,ESP_001,103,0.083
2024-11-14T09:41:22.386738,ESP_001,212,0.171
2024-11-14T09:41:32.419869,ESP_001,383,0.309
2024-11-14T09:41:42.444998,ESP_001,10,0.008
2024-11-14T09:41:52.478203,ESP_001,77,0.062
2024-11-14T09:42:02.503843,ESP_001,42,0.034
2024-11-14T09:42:12.538717,ESP_001,207,0.167
2024-11-14T09:42:22.577216,ESP_001,185,0.149
2024-11-14T09:42:32.600444,ESP_001,9,0.007
2024-11-14T09:42:42.627506,ESP_001,380,0.306
2024-11-14T09:42:52.658835,ESP_001,99,0.08
2024-11-14T09:43:02.691048,ESP_001,233,0.188
2024-11-14T09:43:14.652193,ESP_001,183,0.147
